SAMPLE	POPULATION	REGION	COUNTRY	STUDY
HG00153	GBR	Europe	GBR	GP
HG00154	GBR	Europe	GBR	GP
HG00155	GBR	Europe	GBR	GP
HG00156	GBR	Europe	GBR	GP
HG00157	GBR	Europe	GBR	GP
HG00158	GBR	Europe	GBR	GP
HG00159	GBR	Europe	GBR	GP
HG00160	GBR	Europe	GBR	GP
HG00231	GBR	Europe	GBR	GP
HG00232	GBR	Europe	GBR	GP
HG00233	GBR	Europe	GBR	GP
HG00234	GBR	Europe	GBR	GP
HG00235	GBR	Europe	GBR	GP
HG00236	GBR	Europe	GBR	GP
HG00237	GBR	Europe	GBR	GP
HG00238	GBR	Europe	GBR	GP
HG00239	GBR	Europe	GBR	GP
HG00240	GBR	Europe	GBR	GP
HG00242	GBR	Europe	GBR	GP
HG00243	GBR	Europe	GBR	GP
HG00244	GBR	Europe	GBR	GP
HG00245	GBR	Europe	GBR	GP
HG00246	GBR	Europe	GBR	GP
HG00247	GBR	Europe	GBR	GP
HG00248	GBR	Europe	GBR	GP
HG00249	GBR	Europe	GBR	GP
HG00250	GBR	Europe	GBR	GP
HG00251	GBR	Europe	GBR	GP
HG00252	GBR	Europe	GBR	GP
HG00253	GBR	Europe	GBR	GP
HG00254	GBR	Europe	GBR	GP
HG00255	GBR	Europe	GBR	GP
HG00256	GBR	Europe	GBR	GP
HG00257	GBR	Europe	GBR	GP
HG00258	GBR	Europe	GBR	GP
HG00259	GBR	Europe	GBR	GP
HG00260	GBR	Europe	GBR	GP
HG00261	GBR	Europe	GBR	GP
HG00262	GBR	Europe	GBR	GP
HG00263	GBR	Europe	GBR	GP
HG00264	GBR	Europe	GBR	GP
HG00265	GBR	Europe	GBR	GP
HG01334	GBR	Europe	GBR	GP
HG01789	GBR	Europe	GBR	GP
HG01790	GBR	Europe	GBR	GP
HG01791	GBR	Europe	GBR	GP
HG02215	GBR	Europe	GBR	GP
HG04301	GBR	Europe	GBR	GP
HG04302	GBR	Europe	GBR	GP
HG04303	GBR	Europe	GBR	GP
NA20845	GIH	SEA	GIH	GP
NA20846	GIH	SEA	GIH	GP
NA20847	GIH	SEA	GIH	GP
NA20849	GIH	SEA	GIH	GP
NA20850	GIH	SEA	GIH	GP
NA20851	GIH	SEA	GIH	GP
NA20852	GIH	SEA	GIH	GP
NA20853	GIH	SEA	GIH	GP
NA20854	GIH	SEA	GIH	GP
NA20856	GIH	SEA	GIH	GP
NA20858	GIH	SEA	GIH	GP
NA20859	GIH	SEA	GIH	GP
NA20861	GIH	SEA	GIH	GP
NA20862	GIH	SEA	GIH	GP
NA20863	GIH	SEA	GIH	GP
NA20864	GIH	SEA	GIH	GP
NA20866	GIH	SEA	GIH	GP
NA20867	GIH	SEA	GIH	GP
NA20868	GIH	SEA	GIH	GP
NA20869	GIH	SEA	GIH	GP
NA20870	GIH	SEA	GIH	GP
NA20871	GIH	SEA	GIH	GP
NA20872	GIH	SEA	GIH	GP
NA20873	GIH	SEA	GIH	GP
NA20874	GIH	SEA	GIH	GP
NA20875	GIH	SEA	GIH	GP
NA20876	GIH	SEA	GIH	GP
NA20877	GIH	SEA	GIH	GP
NA20878	GIH	SEA	GIH	GP
NA20879	GIH	SEA	GIH	GP
NA20881	GIH	SEA	GIH	GP
NA20882	GIH	SEA	GIH	GP
NA20883	GIH	SEA	GIH	GP
NA20884	GIH	SEA	GIH	GP
NA20885	GIH	SEA	GIH	GP
NA20886	GIH	SEA	GIH	GP
NA20887	GIH	SEA	GIH	GP
NA20888	GIH	SEA	GIH	GP
NA20889	GIH	SEA	GIH	GP
NA20890	GIH	SEA	GIH	GP
NA20891	GIH	SEA	GIH	GP
NA20892	GIH	SEA	GIH	GP
NA20893	GIH	SEA	GIH	GP
NA20894	GIH	SEA	GIH	GP
NA20895	GIH	SEA	GIH	GP
NA20896	GIH	SEA	GIH	GP
NA20897	GIH	SEA	GIH	GP
NA20898	GIH	SEA	GIH	GP
NA20899	GIH	SEA	GIH	GP
NA20900	GIH	SEA	GIH	GP
NA20901	GIH	SEA	GIH	GP
NA20902	GIH	SEA	GIH	GP
NA20903	GIH	SEA	GIH	GP
NA20904	GIH	SEA	GIH	GP
NA20905	GIH	SEA	GIH	GP
NA20906	GIH	SEA	GIH	GP
NA20907	GIH	SEA	GIH	GP
NA20908	GIH	SEA	GIH	GP
NA20909	GIH	SEA	GIH	GP
NA20910	GIH	SEA	GIH	GP
NA20911	GIH	SEA	GIH	GP
NA21086	GIH	SEA	GIH	GP
NA21087	GIH	SEA	GIH	GP
NA21088	GIH	SEA	GIH	GP
NA21089	GIH	SEA	GIH	GP
NA21090	GIH	SEA	GIH	GP
NA21091	GIH	SEA	GIH	GP
NA21092	GIH	SEA	GIH	GP
NA21093	GIH	SEA	GIH	GP
NA21094	GIH	SEA	GIH	GP
NA21095	GIH	SEA	GIH	GP
NA21097	GIH	SEA	GIH	GP
NA21098	GIH	SEA	GIH	GP
NA21099	GIH	SEA	GIH	GP
NA21100	GIH	SEA	GIH	GP
NA21101	GIH	SEA	GIH	GP
NA21102	GIH	SEA	GIH	GP
NA21103	GIH	SEA	GIH	GP
NA21104	GIH	SEA	GIH	GP
NA21105	GIH	SEA	GIH	GP
NA21106	GIH	SEA	GIH	GP
NA21107	GIH	SEA	GIH	GP
NA21108	GIH	SEA	GIH	GP
NA21109	GIH	SEA	GIH	GP
NA21110	GIH	SEA	GIH	GP
NA21111	GIH	SEA	GIH	GP
NA21112	GIH	SEA	GIH	GP
NA21113	GIH	SEA	GIH	GP
NA21114	GIH	SEA	GIH	GP
NA21115	GIH	SEA	GIH	GP
NA21116	GIH	SEA	GIH	GP
NA21117	GIH	SEA	GIH	GP
NA21118	GIH	SEA	GIH	GP
NA21119	GIH	SEA	GIH	GP
NA21120	GIH	SEA	GIH	GP
NA21121	GIH	SEA	GIH	GP
NA21122	GIH	SEA	GIH	GP
NA21123	GIH	SEA	GIH	GP
NA21124	GIH	SEA	GIH	GP
NA21125	GIH	SEA	GIH	GP
NA21126	GIH	SEA	GIH	GP
NA21127	GIH	SEA	GIH	GP
NA21128	GIH	SEA	GIH	GP
NA21129	GIH	SEA	GIH	GP
NA21130	GIH	SEA	GIH	GP
NA21133	GIH	SEA	GIH	GP
NA21134	GIH	SEA	GIH	GP
NA21135	GIH	SEA	GIH	GP
NA21137	GIH	SEA	GIH	GP
NA21141	GIH	SEA	GIH	GP
NA21142	GIH	SEA	GIH	GP
NA21143	GIH	SEA	GIH	GP
NA21144	GIH	SEA	GIH	GP
HG02461	GWD	Africa	GWD	GP
HG02462	GWD	Africa	GWD	GP
HG02463	GWD	Africa	GWD	GP
HG02464	GWD	Africa	GWD	GP
HG02465	GWD	Africa	GWD	GP
HG02466	GWD	Africa	GWD	GP
HG02561	GWD	Africa	GWD	GP
HG02562	GWD	Africa	GWD	GP
HG02563	GWD	Africa	GWD	GP
HG02567	GWD	Africa	GWD	GP
HG02568	GWD	Africa	GWD	GP
HG02569	GWD	Africa	GWD	GP
HG02570	GWD	Africa	GWD	GP
HG02571	GWD	Africa	GWD	GP
HG02572	GWD	Africa	GWD	GP
HG02573	GWD	Africa	GWD	GP
HG02574	GWD	Africa	GWD	GP
HG02575	GWD	Africa	GWD	GP
HG02582	GWD	Africa	GWD	GP
HG02583	GWD	Africa	GWD	GP
HG02584	GWD	Africa	GWD	GP
HG02585	GWD	Africa	GWD	GP
HG02586	GWD	Africa	GWD	GP
HG02587	GWD	Africa	GWD	GP
HG02588	GWD	Africa	GWD	GP
HG02589	GWD	Africa	GWD	GP
HG02590	GWD	Africa	GWD	GP
HG02594	GWD	Africa	GWD	GP
HG02595	GWD	Africa	GWD	GP
HG02596	GWD	Africa	GWD	GP
HG02610	GWD	Africa	GWD	GP
HG02611	GWD	Africa	GWD	GP
HG02612	GWD	Africa	GWD	GP
HG02613	GWD	Africa	GWD	GP
HG02614	GWD	Africa	GWD	GP
HG02615	GWD	Africa	GWD	GP
HG02620	GWD	Africa	GWD	GP
HG02621	GWD	Africa	GWD	GP
HG02622	GWD	Africa	GWD	GP
HG02623	GWD	Africa	GWD	GP
HG02624	GWD	Africa	GWD	GP
HG02625	GWD	Africa	GWD	GP
HG02628	GWD	Africa	GWD	GP
HG02629	GWD	Africa	GWD	GP
HG02630	GWD	Africa	GWD	GP
HG02634	GWD	Africa	GWD	GP
HG02635	GWD	Africa	GWD	GP
HG02636	GWD	Africa	GWD	GP
HG02642	GWD	Africa	GWD	GP
HG02643	GWD	Africa	GWD	GP
HG02644	GWD	Africa	GWD	GP
HG02645	GWD	Africa	GWD	GP
HG02646	GWD	Africa	GWD	GP
HG02647	GWD	Africa	GWD	GP
HG02666	GWD	Africa	GWD	GP
HG02667	GWD	Africa	GWD	GP
HG02668	GWD	Africa	GWD	GP
HG02675	GWD	Africa	GWD	GP
HG02676	GWD	Africa	GWD	GP
HG02677	GWD	Africa	GWD	GP
HG02678	GWD	Africa	GWD	GP
HG02679	GWD	Africa	GWD	GP
HG02680	GWD	Africa	GWD	GP
HG02702	GWD	Africa	GWD	GP
HG02703	GWD	Africa	GWD	GP
HG02704	GWD	Africa	GWD	GP
HG02715	GWD	Africa	GWD	GP
HG02716	GWD	Africa	GWD	GP
HG02717	GWD	Africa	GWD	GP
HG02721	GWD	Africa	GWD	GP
HG02722	GWD	Africa	GWD	GP
HG02723	GWD	Africa	GWD	GP
HG02756	GWD	Africa	GWD	GP
HG02757	GWD	Africa	GWD	GP
HG02758	GWD	Africa	GWD	GP
HG02759	GWD	Africa	GWD	GP
HG02760	GWD	Africa	GWD	GP
HG02761	GWD	Africa	GWD	GP
HG02762	GWD	Africa	GWD	GP
HG02763	GWD	Africa	GWD	GP
HG02764	GWD	Africa	GWD	GP
HG02768	GWD	Africa	GWD	GP
HG02769	GWD	Africa	GWD	GP
HG02770	GWD	Africa	GWD	GP
HG02771	GWD	Africa	GWD	GP
HG02772	GWD	Africa	GWD	GP
HG02773	GWD	Africa	GWD	GP
HG02798	GWD	Africa	GWD	GP
HG02799	GWD	Africa	GWD	GP
HG02800	GWD	Africa	GWD	GP
HG02804	GWD	Africa	GWD	GP
HG02805	GWD	Africa	GWD	GP
HG02806	GWD	Africa	GWD	GP
HG02807	GWD	Africa	GWD	GP
HG02808	GWD	Africa	GWD	GP
HG02809	GWD	Africa	GWD	GP
HG02810	GWD	Africa	GWD	GP
HG02811	GWD	Africa	GWD	GP
HG02812	GWD	Africa	GWD	GP
HG02813	GWD	Africa	GWD	GP
HG02814	GWD	Africa	GWD	GP
HG02815	GWD	Africa	GWD	GP
HG02816	GWD	Africa	GWD	GP
HG02817	GWD	Africa	GWD	GP
HG02818	GWD	Africa	GWD	GP
HG02819	GWD	Africa	GWD	GP
HG02820	GWD	Africa	GWD	GP
HG02821	GWD	Africa	GWD	GP
HG02836	GWD	Africa	GWD	GP
HG02837	GWD	Africa	GWD	GP
HG02838	GWD	Africa	GWD	GP
HG02839	GWD	Africa	GWD	GP
HG02840	GWD	Africa	GWD	GP
HG02841	GWD	Africa	GWD	GP
HG02851	GWD	Africa	GWD	GP
HG02852	GWD	Africa	GWD	GP
HG02853	GWD	Africa	GWD	GP
HG02854	GWD	Africa	GWD	GP
HG02855	GWD	Africa	GWD	GP
HG02856	GWD	Africa	GWD	GP
HG02860	GWD	Africa	GWD	GP
HG02861	GWD	Africa	GWD	GP
HG02862	GWD	Africa	GWD	GP
HG02869	GWD	Africa	GWD	GP
HG02870	GWD	Africa	GWD	GP
HG02871	GWD	Africa	GWD	GP
HG02878	GWD	Africa	GWD	GP
HG02879	GWD	Africa	GWD	GP
HG02880	GWD	Africa	GWD	GP
HG02881	GWD	Africa	GWD	GP
HG02882	GWD	Africa	GWD	GP
HG02883	GWD	Africa	GWD	GP
HG02884	GWD	Africa	GWD	GP
HG02885	GWD	Africa	GWD	GP
HG02886	GWD	Africa	GWD	GP
HG02887	GWD	Africa	GWD	GP
HG02888	GWD	Africa	GWD	GP
HG02889	GWD	Africa	GWD	GP
HG02890	GWD	Africa	GWD	GP
HG02891	GWD	Africa	GWD	GP
HG02892	GWD	Africa	GWD	GP
HG02895	GWD	Africa	GWD	GP
HG02896	GWD	Africa	GWD	GP
HG02897	GWD	Africa	GWD	GP
HG02982	GWD	Africa	GWD	GP
HG02983	GWD	Africa	GWD	GP
HG02984	GWD	Africa	GWD	GP
HG03024	GWD	Africa	GWD	GP
HG03025	GWD	Africa	GWD	GP
HG03026	GWD	Africa	GWD	GP
HG03027	GWD	Africa	GWD	GP
HG03028	GWD	Africa	GWD	GP
HG03029	GWD	Africa	GWD	GP
HG03033	GWD	Africa	GWD	GP
HG03034	GWD	Africa	GWD	GP
HG03035	GWD	Africa	GWD	GP
HG03039	GWD	Africa	GWD	GP
HG03040	GWD	Africa	GWD	GP
HG03041	GWD	Africa	GWD	GP
HG03045	GWD	Africa	GWD	GP
HG03046	GWD	Africa	GWD	GP
HG03047	GWD	Africa	GWD	GP
HG03048	GWD	Africa	GWD	GP
HG03049	GWD	Africa	GWD	GP
HG03050	GWD	Africa	GWD	GP
HG03240	GWD	Africa	GWD	GP
HG03241	GWD	Africa	GWD	GP
HG03242	GWD	Africa	GWD	GP
HG03246	GWD	Africa	GWD	GP
HG03247	GWD	Africa	GWD	GP
HG03248	GWD	Africa	GWD	GP
HG03249	GWD	Africa	GWD	GP
HG03250	GWD	Africa	GWD	GP
HG03251	GWD	Africa	GWD	GP
HG03258	GWD	Africa	GWD	GP
HG03259	GWD	Africa	GWD	GP
HG03260	GWD	Africa	GWD	GP
HG03538	GWD	Africa	GWD	GP
HG03539	GWD	Africa	GWD	GP
HG03540	GWD	Africa	GWD	GP
HG01500	IBS	Europe	IBS	GP
HG01501	IBS	Europe	IBS	GP
HG01502	IBS	Europe	IBS	GP
HG01503	IBS	Europe	IBS	GP
HG01504	IBS	Europe	IBS	GP
HG01505	IBS	Europe	IBS	GP
HG01506	IBS	Europe	IBS	GP
HG01507	IBS	Europe	IBS	GP
HG01508	IBS	Europe	IBS	GP
HG01509	IBS	Europe	IBS	GP
HG01510	IBS	Europe	IBS	GP
HG01511	IBS	Europe	IBS	GP
HG01512	IBS	Europe	IBS	GP
HG01513	IBS	Europe	IBS	GP
HG01514	IBS	Europe	IBS	GP
HG01515	IBS	Europe	IBS	GP
HG01516	IBS	Europe	IBS	GP
HG01517	IBS	Europe	IBS	GP
HG01518	IBS	Europe	IBS	GP
HG01519	IBS	Europe	IBS	GP
HG01520	IBS	Europe	IBS	GP
HG01521	IBS	Europe	IBS	GP
HG01522	IBS	Europe	IBS	GP
HG01523	IBS	Europe	IBS	GP
HG01524	IBS	Europe	IBS	GP
HG01525	IBS	Europe	IBS	GP
HG01526	IBS	Europe	IBS	GP
HG01527	IBS	Europe	IBS	GP
HG01528	IBS	Europe	IBS	GP
HG01529	IBS	Europe	IBS	GP
HG01530	IBS	Europe	IBS	GP
HG01531	IBS	Europe	IBS	GP
HG01532	IBS	Europe	IBS	GP
HG01536	IBS	Europe	IBS	GP
HG01537	IBS	Europe	IBS	GP
HG01538	IBS	Europe	IBS	GP
HG01601	IBS	Europe	IBS	GP
HG01602	IBS	Europe	IBS	GP
HG01603	IBS	Europe	IBS	GP
HG01604	IBS	Europe	IBS	GP
HG01605	IBS	Europe	IBS	GP
HG01606	IBS	Europe	IBS	GP
HG01607	IBS	Europe	IBS	GP
HG01608	IBS	Europe	IBS	GP
HG01609	IBS	Europe	IBS	GP
HG01610	IBS	Europe	IBS	GP
HG01611	IBS	Europe	IBS	GP
HG01612	IBS	Europe	IBS	GP
HG01613	IBS	Europe	IBS	GP
HG01614	IBS	Europe	IBS	GP
HG01615	IBS	Europe	IBS	GP
HG01616	IBS	Europe	IBS	GP
HG01617	IBS	Europe	IBS	GP
HG01618	IBS	Europe	IBS	GP
HG01619	IBS	Europe	IBS	GP
HG01620	IBS	Europe	IBS	GP
HG01621	IBS	Europe	IBS	GP
HG01622	IBS	Europe	IBS	GP
HG01623	IBS	Europe	IBS	GP
HG01624	IBS	Europe	IBS	GP
HG01625	IBS	Europe	IBS	GP
HG01626	IBS	Europe	IBS	GP
HG01627	IBS	Europe	IBS	GP
HG01628	IBS	Europe	IBS	GP
HG01629	IBS	Europe	IBS	GP
HG01630	IBS	Europe	IBS	GP
HG01631	IBS	Europe	IBS	GP
HG01632	IBS	Europe	IBS	GP
HG01633	IBS	Europe	IBS	GP
HG01667	IBS	Europe	IBS	GP
HG01668	IBS	Europe	IBS	GP
HG01669	IBS	Europe	IBS	GP
HG01670	IBS	Europe	IBS	GP
HG01671	IBS	Europe	IBS	GP
HG01672	IBS	Europe	IBS	GP
HG01673	IBS	Europe	IBS	GP
HG01674	IBS	Europe	IBS	GP
HG01675	IBS	Europe	IBS	GP
HG01676	IBS	Europe	IBS	GP
HG01677	IBS	Europe	IBS	GP
HG01678	IBS	Europe	IBS	GP
HG01679	IBS	Europe	IBS	GP
HG01680	IBS	Europe	IBS	GP
HG01681	IBS	Europe	IBS	GP
HG01682	IBS	Europe	IBS	GP
HG01683	IBS	Europe	IBS	GP
HG01684	IBS	Europe	IBS	GP
HG01685	IBS	Europe	IBS	GP
HG01686	IBS	Europe	IBS	GP
HG01687	IBS	Europe	IBS	GP
HG01694	IBS	Europe	IBS	GP
HG01695	IBS	Europe	IBS	GP
HG01696	IBS	Europe	IBS	GP
HG01697	IBS	Europe	IBS	GP
HG01698	IBS	Europe	IBS	GP
HG01699	IBS	Europe	IBS	GP
HG01700	IBS	Europe	IBS	GP
HG01701	IBS	Europe	IBS	GP
HG01702	IBS	Europe	IBS	GP
HG01703	IBS	Europe	IBS	GP
HG01704	IBS	Europe	IBS	GP
HG01705	IBS	Europe	IBS	GP
HG01706	IBS	Europe	IBS	GP
HG01707	IBS	Europe	IBS	GP
HG01708	IBS	Europe	IBS	GP
HG01709	IBS	Europe	IBS	GP
HG01710	IBS	Europe	IBS	GP
HG01711	IBS	Europe	IBS	GP
HG01746	IBS	Europe	IBS	GP
HG01747	IBS	Europe	IBS	GP
HG01748	IBS	Europe	IBS	GP
HG01755	IBS	Europe	IBS	GP
HG01756	IBS	Europe	IBS	GP
HG01757	IBS	Europe	IBS	GP
HG01761	IBS	Europe	IBS	GP
HG01762	IBS	Europe	IBS	GP
HG01763	IBS	Europe	IBS	GP
HG01764	IBS	Europe	IBS	GP
HG01765	IBS	Europe	IBS	GP
HG01766	IBS	Europe	IBS	GP
HG01767	IBS	Europe	IBS	GP
HG01768	IBS	Europe	IBS	GP
HG01769	IBS	Europe	IBS	GP
HG01770	IBS	Europe	IBS	GP
HG01771	IBS	Europe	IBS	GP
HG01772	IBS	Europe	IBS	GP
HG01773	IBS	Europe	IBS	GP
HG01774	IBS	Europe	IBS	GP
HG01775	IBS	Europe	IBS	GP
HG01776	IBS	Europe	IBS	GP
HG01777	IBS	Europe	IBS	GP
HG01778	IBS	Europe	IBS	GP
HG01779	IBS	Europe	IBS	GP
HG01780	IBS	Europe	IBS	GP
HG01781	IBS	Europe	IBS	GP
HG01782	IBS	Europe	IBS	GP
HG01783	IBS	Europe	IBS	GP
HG01784	IBS	Europe	IBS	GP
HG01785	IBS	Europe	IBS	GP
HG01786	IBS	Europe	IBS	GP
HG01787	IBS	Europe	IBS	GP
HG02217	IBS	Europe	IBS	GP
HG02218	IBS	Europe	IBS	GP
HG02219	IBS	Europe	IBS	GP
HG02220	IBS	Europe	IBS	GP
HG02221	IBS	Europe	IBS	GP
HG02222	IBS	Europe	IBS	GP
HG02223	IBS	Europe	IBS	GP
HG02224	IBS	Europe	IBS	GP
HG02225	IBS	Europe	IBS	GP
HG02229	IBS	Europe	IBS	GP
HG02230	IBS	Europe	IBS	GP
HG02231	IBS	Europe	IBS	GP
HG02232	IBS	Europe	IBS	GP
HG02233	IBS	Europe	IBS	GP
HG02234	IBS	Europe	IBS	GP
HG02235	IBS	Europe	IBS	GP
HG02236	IBS	Europe	IBS	GP
HG02237	IBS	Europe	IBS	GP
HG02238	IBS	Europe	IBS	GP
HG02239	IBS	Europe	IBS	GP
HG02240	IBS	Europe	IBS	GP
HG03713	ITU	SEA	ITU	GP
HG03714	ITU	SEA	ITU	GP
HG03715	ITU	SEA	ITU	GP
HG03716	ITU	SEA	ITU	GP
HG03717	ITU	SEA	ITU	GP
HG03718	ITU	SEA	ITU	GP
HG03719	ITU	SEA	ITU	GP
HG03720	ITU	SEA	ITU	GP
HG03721	ITU	SEA	ITU	GP
HG03722	ITU	SEA	ITU	GP
HG03723	ITU	SEA	ITU	GP
HG03725	ITU	SEA	ITU	GP
HG03727	ITU	SEA	ITU	GP
HG03729	ITU	SEA	ITU	GP
HG03730	ITU	SEA	ITU	GP
HG03731	ITU	SEA	ITU	GP
HG03732	ITU	SEA	ITU	GP
HG03742	ITU	SEA	ITU	GP
HG03770	ITU	SEA	ITU	GP
HG03771	ITU	SEA	ITU	GP
HG03772	ITU	SEA	ITU	GP
HG03773	ITU	SEA	ITU	GP
HG03774	ITU	SEA	ITU	GP
HG03775	ITU	SEA	ITU	GP
HG03777	ITU	SEA	ITU	GP
HG03778	ITU	SEA	ITU	GP
HG03779	ITU	SEA	ITU	GP
HG03780	ITU	SEA	ITU	GP
HG03781	ITU	SEA	ITU	GP
HG03782	ITU	SEA	ITU	GP
HG03783	ITU	SEA	ITU	GP
HG03784	ITU	SEA	ITU	GP
HG03785	ITU	SEA	ITU	GP
HG03786	ITU	SEA	ITU	GP
HG03787	ITU	SEA	ITU	GP
HG03788	ITU	SEA	ITU	GP
HG03789	ITU	SEA	ITU	GP
HG03790	ITU	SEA	ITU	GP
HG03792	ITU	SEA	ITU	GP
HG03861	ITU	SEA	ITU	GP
HG03862	ITU	SEA	ITU	GP
HG03863	ITU	SEA	ITU	GP
HG03864	ITU	SEA	ITU	GP
HG03866	ITU	SEA	ITU	GP
HG03867	ITU	SEA	ITU	GP
HG03868	ITU	SEA	ITU	GP
HG03869	ITU	SEA	ITU	GP
HG03870	ITU	SEA	ITU	GP
HG03871	ITU	SEA	ITU	GP
HG03872	ITU	SEA	ITU	GP
HG03873	ITU	SEA	ITU	GP
HG03874	ITU	SEA	ITU	GP
HG03875	ITU	SEA	ITU	GP
HG03876	ITU	SEA	ITU	GP
HG03879	ITU	SEA	ITU	GP
HG03882	ITU	SEA	ITU	GP
HG03960	ITU	SEA	ITU	GP
HG03963	ITU	SEA	ITU	GP
HG03965	ITU	SEA	ITU	GP
HG03967	ITU	SEA	ITU	GP
HG03968	ITU	SEA	ITU	GP
HG03969	ITU	SEA	ITU	GP
HG03971	ITU	SEA	ITU	GP
HG03972	ITU	SEA	ITU	GP
HG03973	ITU	SEA	ITU	GP
HG03974	ITU	SEA	ITU	GP
HG03976	ITU	SEA	ITU	GP
HG03977	ITU	SEA	ITU	GP
HG03978	ITU	SEA	ITU	GP
HG04001	ITU	SEA	ITU	GP
HG04002	ITU	SEA	ITU	GP
HG04014	ITU	SEA	ITU	GP
HG04015	ITU	SEA	ITU	GP
HG04017	ITU	SEA	ITU	GP
HG04018	ITU	SEA	ITU	GP
HG04019	ITU	SEA	ITU	GP
HG04020	ITU	SEA	ITU	GP
HG04022	ITU	SEA	ITU	GP
HG04023	ITU	SEA	ITU	GP
HG04024	ITU	SEA	ITU	GP
HG04025	ITU	SEA	ITU	GP
HG04026	ITU	SEA	ITU	GP
HG04050	ITU	SEA	ITU	GP
HG04053	ITU	SEA	ITU	GP
HG04054	ITU	SEA	ITU	GP
HG04055	ITU	SEA	ITU	GP
HG04056	ITU	SEA	ITU	GP
HG04058	ITU	SEA	ITU	GP
HG04059	ITU	SEA	ITU	GP
HG04060	ITU	SEA	ITU	GP
HG04061	ITU	SEA	ITU	GP
HG04062	ITU	SEA	ITU	GP
HG04063	ITU	SEA	ITU	GP
HG04070	ITU	SEA	ITU	GP
HG04076	ITU	SEA	ITU	GP
HG04080	ITU	SEA	ITU	GP
HG04090	ITU	SEA	ITU	GP
HG04093	ITU	SEA	ITU	GP
HG04094	ITU	SEA	ITU	GP
HG04096	ITU	SEA	ITU	GP
HG04098	ITU	SEA	ITU	GP
HG04118	ITU	SEA	ITU	GP
HG04198	ITU	SEA	ITU	GP
HG04200	ITU	SEA	ITU	GP
HG04202	ITU	SEA	ITU	GP
HG04206	ITU	SEA	ITU	GP
HG04209	ITU	SEA	ITU	GP
HG04211	ITU	SEA	ITU	GP
HG04212	ITU	SEA	ITU	GP
HG04214	ITU	SEA	ITU	GP
HG04216	ITU	SEA	ITU	GP
HG04217	ITU	SEA	ITU	GP
HG04219	ITU	SEA	ITU	GP
HG04222	ITU	SEA	ITU	GP
HG04225	ITU	SEA	ITU	GP
HG04235	ITU	SEA	ITU	GP
HG04238	ITU	SEA	ITU	GP
HG04239	ITU	SEA	ITU	GP
NA18939	JPT	Asia	JPT	GP
NA18940	JPT	Asia	JPT	GP
NA18941	JPT	Asia	JPT	GP
NA18942	JPT	Asia	JPT	GP
NA18943	JPT	Asia	JPT	GP
NA18944	JPT	Asia	JPT	GP
NA18945	JPT	Asia	JPT	GP
NA18946	JPT	Asia	JPT	GP
NA18947	JPT	Asia	JPT	GP
NA18948	JPT	Asia	JPT	GP
NA18949	JPT	Asia	JPT	GP
NA18950	JPT	Asia	JPT	GP
NA18951	JPT	Asia	JPT	GP
NA18952	JPT	Asia	JPT	GP
NA18953	JPT	Asia	JPT	GP
NA18954	JPT	Asia	JPT	GP
NA18955	JPT	Asia	JPT	GP
NA18956	JPT	Asia	JPT	GP
NA18957	JPT	Asia	JPT	GP
NA18959	JPT	Asia	JPT	GP
NA18960	JPT	Asia	JPT	GP
NA18961	JPT	Asia	JPT	GP
NA18962	JPT	Asia	JPT	GP
NA18963	JPT	Asia	JPT	GP
NA18964	JPT	Asia	JPT	GP
NA18965	JPT	Asia	JPT	GP
NA18966	JPT	Asia	JPT	GP
NA18967	JPT	Asia	JPT	GP
NA18968	JPT	Asia	JPT	GP
NA18969	JPT	Asia	JPT	GP
NA18970	JPT	Asia	JPT	GP
NA18971	JPT	Asia	JPT	GP
NA18972	JPT	Asia	JPT	GP
NA18973	JPT	Asia	JPT	GP
NA18974	JPT	Asia	JPT	GP
NA18975	JPT	Asia	JPT	GP
NA18976	JPT	Asia	JPT	GP
NA18977	JPT	Asia	JPT	GP
NA18978	JPT	Asia	JPT	GP
NA18979	JPT	Asia	JPT	GP
NA18980	JPT	Asia	JPT	GP
NA18981	JPT	Asia	JPT	GP
NA18982	JPT	Asia	JPT	GP
NA18983	JPT	Asia	JPT	GP
NA18984	JPT	Asia	JPT	GP
NA18985	JPT	Asia	JPT	GP
NA18986	JPT	Asia	JPT	GP
NA18987	JPT	Asia	JPT	GP
NA18988	JPT	Asia	JPT	GP
NA18989	JPT	Asia	JPT	GP
NA18990	JPT	Asia	JPT	GP
NA18991	JPT	Asia	JPT	GP
NA18992	JPT	Asia	JPT	GP
NA18993	JPT	Asia	JPT	GP
NA18994	JPT	Asia	JPT	GP
NA18995	JPT	Asia	JPT	GP
NA18997	JPT	Asia	JPT	GP
NA18998	JPT	Asia	JPT	GP
NA18999	JPT	Asia	JPT	GP
NA19000	JPT	Asia	JPT	GP
NA19001	JPT	Asia	JPT	GP
NA19002	JPT	Asia	JPT	GP
NA19003	JPT	Asia	JPT	GP
NA19004	JPT	Asia	JPT	GP
NA19005	JPT	Asia	JPT	GP
NA19006	JPT	Asia	JPT	GP
NA19007	JPT	Asia	JPT	GP
NA19009	JPT	Asia	JPT	GP
NA19010	JPT	Asia	JPT	GP
NA19011	JPT	Asia	JPT	GP
NA19012	JPT	Asia	JPT	GP
NA19054	JPT	Asia	JPT	GP
NA19055	JPT	Asia	JPT	GP
NA19056	JPT	Asia	JPT	GP
NA19057	JPT	Asia	JPT	GP
